original_title,original_language,popularity,spoken_languages,genres,production_companies,production_countries
Man of Steel,en,99.398009,['English'],"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Cruel and Unusual Films']","['United Kingdom', 'United States of America']"
The Chronicles of Narnia: Prince Caspian,en,53.978602,['English'],"['Adventure', 'Family', 'Fantasy']","['Walt Disney', 'Walden Media', 'Stillking Films', 'Ozumi Films', 'Propeler', 'Silverbell Films', 'Revolution Sun Studios']","['Czech Republic', 'Poland', 'Slovenia', 'United States of America']"
The Avengers,en,144.448633,['English'],"['Science Fiction', 'Action', 'Adventure']","['Paramount Pictures', 'Marvel Studios']",['United States of America']
Pirates of the Caribbean: On Stranger Tides,en,135.413856,"['English', 'Español']","['Adventure', 'Action', 'Fantasy']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']",['United States of America']
Men in Black 3,en,52.035179,['English'],"['Action', 'Comedy', 'Science Fiction']","['Amblin Entertainment', 'Media Magik Entertainment', 'Imagenation Abu Dhabi FZ', 'Hemisphere Media Capital', 'Parkes/MacDonald Productions']",['United States of America']
The Hobbit: The Battle of the Five Armies,en,120.965743,['English'],"['Action', 'Adventure', 'Fantasy']","['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', '3Foot7', 'Metro-Goldwyn-Mayer (MGM)']","['New Zealand', 'United States of America']"
The Amazing Spider-Man,en,89.866276,['English'],"['Action', 'Adventure', 'Fantasy']","['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Entertainment']",['United States of America']
Robin Hood,en,37.668301,"['English', 'ภาษาไทย']","['Action', 'Adventure']","['Imagine Entertainment', 'Universal Pictures', 'Scott Free Productions', 'Relativity Media']","['United Kingdom', 'United States of America']"
The Hobbit: The Desolation of Smaug,en,94.370564,['English'],"['Adventure', 'Fantasy']","['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']","['New Zealand', 'United States of America']"
The Golden Compass,en,42.990906,"['Íslenska', 'English', 'Pусский', 'Français']","['Adventure', 'Fantasy']","['New Line Cinema', 'Ingenious Film Partners', 'Depth of Field', 'Scholastic Productions']","['United Kingdom', 'United States of America']"
King Kong,en,61.22601,['English'],"['Adventure', 'Drama', 'Action']","['WingNut Films', 'Universal Pictures', 'Big Primate Pictures', 'MFPV Film']","['New Zealand', 'United States of America', 'Germany']"
Titanic,en,100.025899,"['English', 'Français', 'Deutsch', 'svenska', 'Italiano', 'Pусский']","['Drama', 'Romance', 'Thriller']","['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']",['United States of America']
Captain America: Civil War,en,198.372395,"['Română', 'English', 'Deutsch', 'Pусский']","['Adventure', 'Action', 'Science Fiction']","['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures', 'Vita-Ray Dutch Productions (III)', 'Deluxe Digital Studios']",['United States of America']
Battleship,en,64.928382,"['English', 'ภาษาไทย']","['Thriller', 'Action', 'Adventure', 'Science Fiction']","['Universal Pictures', 'Hasbro', 'Bluegrass Films', 'Film 44']",['United States of America']
Jurassic World,en,418.708552,['English'],"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']",['United States of America']
Skyfall,en,93.004993,['English'],"['Action', 'Adventure', 'Thriller']",['Columbia Pictures'],"['United Kingdom', 'United States of America']"
Spider-Man 2,en,35.149586,"['English', 'Pусский', '普通话']","['Action', 'Adventure', 'Fantasy']","['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",['United States of America']
Iron Man 3,en,77.68208,['English'],"['Action', 'Adventure', 'Science Fiction']",['Marvel Studios'],"['China', 'United States of America']"
Alice in Wonderland,en,78.530105,['English'],"['Family', 'Fantasy', 'Adventure']","['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions', 'Roth Films', 'Zanuck Company, The']",['United States of America']
X-Men: The Last Stand,en,3.857526,['English'],"['Adventure', 'Action', 'Science Fiction', 'Thriller']","['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Dune Entertainment', 'Major Studio Partners', 'Bad Hat Harry Productions', 'thinkfilm', 'Marvel Enterprises', 'X3 Canada Productions', 'X3US Productions', 'XM3 Service']","['Canada', 'United Kingdom', 'United States of America']"
Monsters University,en,89.186492,['English'],"['Animation', 'Family']","['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America']
Transformers: Revenge of the Fallen,en,21.939663,"['English', 'Español']","['Science Fiction', 'Action', 'Adventure']","['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'Hasbro Studios', 'Revolution Sun Studios']",['United States of America']
Transformers: Age of Extinction,en,116.840296,['English'],"['Science Fiction', 'Action', 'Adventure']","['Paramount Pictures', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'China Movie Channel', 'Hasbro Studios', 'Ian Bryce Productions', 'Revolution Sun Studios']",['United States of America']
Oz: The Great and Powerful,en,46.985445,['English'],"['Fantasy', 'Adventure', 'Family']","['Walt Disney Pictures', 'Roth Films']",['United States of America']
The Amazing Spider-Man 2,en,89.270217,['English'],"['Action', 'Adventure', 'Fantasy']","['Columbia Pictures', 'Marvel Enterprises', 'Avi Arad Productions', 'Matt Tolmach Productions']",['United States of America']
TRON: Legacy,en,73.79505,['English'],"['Adventure', 'Action', 'Science Fiction']","['Walt Disney Pictures', 'LivePlanet', 'Prana Studios', 'Sean Bailey Productions', 'Revolution Sun Studios', 'Kontsept Film Company']",['United States of America']
Cars 2,en,49.98659,"['English', '日本語', 'Italiano', 'Français']","['Animation', 'Family', 'Adventure', 'Comedy']","['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America']
Green Lantern,en,51.872839,['English'],"['Adventure', 'Action', 'Thriller', 'Science Fiction']","['De Line Pictures', 'Warner Bros.', 'DC Entertainment']",['United States of America']
Toy Story 3,en,59.995418,"['English', 'Español']","['Animation', 'Family', 'Comedy']","['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America']
Terminator Salvation,en,71.862892,"['English', 'Italiano']","['Action', 'Science Fiction', 'Thriller']","['Columbia Pictures', 'The Halcyon Company', 'Wonderland Sound and Vision', 'Warner Bros.']","['Germany', 'Italy', 'United Kingdom', 'United States of America']"
Furious 7,en,102.322217,['English'],['Action'],"['Universal Pictures', 'Original Film', 'Fuji Television Network', 'Dentsu', 'One Race Films', 'China Film Co.', 'Québec Production Services Tax Credit', 'Media Rights Capital (MRC)', 'Abu Dhabi Film Commission', 'Colorado Office of Film, Television & Media']","['Japan', 'United States of America']"
World War Z,en,81.834855,['English'],"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']","['Paramount Pictures', 'GK Films', 'Skydance Productions', 'Hemisphere Media Capital', 'Apparatus Productions', 'Latina Pictures', '2DUX²']","['United States of America', 'Malta']"
X-Men: Days of Future Past,en,118.078691,['English'],"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Marvel Entertainment', 'Bad Hat Harry Productions', 'TSG Entertainment', 'Down Productions', 'Revolution Sun Studios']","['United Kingdom', 'United States of America']"
Star Trek Into Darkness,en,78.291018,['English'],"['Action', 'Adventure', 'Science Fiction']","['Paramount Pictures', 'Skydance Productions', 'Bad Robot', 'Kurtzman/Orci']",['United States of America']
Jack the Giant Slayer,en,43.349855,['English'],"['Action', 'Family', 'Fantasy']","['New Line Cinema', 'Original Film', 'Legendary Pictures', 'Warner Bros.', 'Big Kid Pictures', 'Bad Hat Harry Productions']",['United States of America']
The Great Gatsby,en,61.196071,['English'],"['Drama', 'Romance']","['Village Roadshow Pictures', 'Bazmark Films', 'Warner Bros.', 'A&E Television Networks', 'Red Wagon Entertainment', 'Spectrum Films']","['United States of America', 'Australia']"
Prince of Persia: The Sands of Time,en,62.169881,['English'],"['Adventure', 'Fantasy', 'Action', 'Romance']","['Walt Disney Pictures', 'Jerry Bruckheimer Films']",['United States of America']
Pacific Rim,en,56.523205,['English'],"['Action', 'Science Fiction', 'Adventure']","['Legendary Pictures', 'Warner Bros.', 'Disney Double Dare You (DDY)', 'Indochina Productions']","['United States of America', 'Canada']"
Transformers: Dark of the Moon,en,28.529607,['English'],"['Action', 'Science Fiction', 'Adventure']","['Paramount Pictures', 'Di Bonaventura Pictures', 'Indochina Productions', 'Hasbro Studios']",['United States of America']
Indiana Jones and the Kingdom of the Crystal Skull,en,75.674458,"['English', 'Deutsch', 'Pусский']","['Adventure', 'Action']","['Lucasfilm', 'Paramount Pictures']",['United States of America']
The Good Dinosaur,en,51.692953,['English'],"['Adventure', 'Animation', 'Family']","['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America']
Brave,en,125.114374,['English'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']","['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America']
Star Trek Beyond,en,65.352913,['English'],"['Action', 'Adventure', 'Science Fiction']","['Paramount Pictures', 'Bad Robot', 'Perfect Storm Entertainment', 'Alibaba Pictures Group', 'Skydance Media', 'Sneaky Shark', 'Huahua Media']",['United States of America']
WALL·E,en,66.390712,['English'],"['Animation', 'Family']","['Walt Disney Pictures', 'Pixar Animation Studios', 'FortyFour Studios']",['United States of America']
Rush Hour 3,en,22.57178,"['Latin', 'English', 'Français', '日本語', '普通话']","['Action', 'Comedy', 'Crime', 'Thriller']",['New Line Cinema'],['United States of America']
2012,en,45.274225,"['English', 'Français', 'हिन्दी', 'Italiano', 'Latin', '普通话', 'Português', 'Pусский', '']","['Action', 'Adventure', 'Science Fiction']","['Columbia Pictures', 'Centropolis Entertainment', 'The Mark Gordon Company', 'Farewell Productions']","['Canada', 'United States of America']"
A Christmas Carol,en,39.744242,['English'],"['Animation', 'Drama']","['Walt Disney', 'ImageMovers']",['United States of America']
Jupiter Ascending,en,85.36908,['English'],"['Science Fiction', 'Fantasy', 'Action', 'Adventure']","['Village Roadshow Pictures', 'Dune Entertainment', 'Anarchos Productions', 'Warner Bros.']",['United States of America']
The Legend of Tarzan,en,42.741719,['English'],"['Action', 'Adventure']","['Village Roadshow Pictures', 'Dark Horse Entertainment', 'Jerry Weintraub Productions', 'RatPac-Dune Entertainment', 'Beagle Pug Films', 'Riche Productions', 'Village Roadshow Films North America']","['Canada', 'United Kingdom', 'United States of America']"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",en,67.391328,"['English', 'Deutsch']","['Adventure', 'Family', 'Fantasy']","['Walt Disney', 'Walden Media']","['United Kingdom', 'United States of America']"
X-Men: Apocalypse,en,139.272042,['English'],['Science Fiction'],"['Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Marvel Entertainment', 'Bad Hat Harry Productions', 'TSG Entertainment', 'Kinberg Genre']",['United States of America']
The Dark Knight,en,187.322927,"['English', '普通话']","['Drama', 'Action', 'Crime', 'Thriller']","['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']","['United Kingdom', 'United States of America']"
Up,en,92.201962,['English'],"['Animation', 'Comedy', 'Family', 'Adventure']",['Pixar Animation Studios'],['United States of America']
Monsters vs Aliens,en,36.167578,['English'],"['Animation', 'Family', 'Adventure', 'Science Fiction']",['DreamWorks Animation'],['United States of America']
Iron Man,en,120.725053,"['English', 'فارسی', 'اردو', 'العربية']","['Action', 'Science Fiction', 'Adventure']",['Marvel Studios'],['United States of America']
Hugo,en,32.319043,['English'],"['Adventure', 'Drama', 'Family']","['Paramount Pictures', 'Infinitum Nihil', 'GK Films']","['France', 'United States of America', 'United Kingdom']"
Wild Wild West,en,40.748915,['English'],"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']","['Todman, Simon, LeMasters Productions', 'Warner Bros.', 'Peters Entertainment', 'Sonnenfeld Josephson Worldwide Entertainment']",['United States of America']
The Mummy: Tomb of the Dragon Emperor,en,60.034162,"['English', '普通话', '']","['Adventure', 'Action', 'Fantasy']","['Universal Pictures', 'China Film Co-Production Corporation', 'Relativity Media', 'Alphaville Films', 'Sommers Company, The']","['Germany', 'United States of America']"
Suicide Squad,en,90.23792,['English'],"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']","['DC Comics', 'Dune Entertainment', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment']",['United States of America']
Evan Almighty,en,27.082182,['English'],"['Fantasy', 'Comedy', 'Family']","['Columbia Pictures', 'Universal Pictures', 'Spyglass Entertainment', 'Shady Acres Entertainment', 'Original Film', 'Playtone', 'Relativity Media']",['United States of America']
Edge of Tomorrow,en,79.456485,['English'],"['Action', 'Science Fiction']","['Village Roadshow Pictures', 'Warner Bros.', 'Viz Media', 'Province of British Columbia Production Services Tax Credit', '3 Arts Entertainment', 'RatPac-Dune Entertainment']","['Australia', 'United States of America']"
Waterworld,en,44.640292,"['English', 'Deutsch', 'Español']","['Adventure', 'Action']","['Universal Pictures', 'Gordon Company', 'Davis Entertainment', 'Licht/Mueller Film Corporation']",['United States of America']
G.I. Joe: The Rise of Cobra,en,32.852443,"['English', 'Français', '']","['Adventure', 'Action', 'Thriller', 'Science Fiction']","['Paramount Pictures', 'Spyglass Entertainment', 'Di Bonaventura Pictures', 'Hasbro', 'Kontsept Film Company']","['Czech Republic', 'United States of America']"
Inside Out,en,128.655964,['English'],"['Drama', 'Comedy', 'Animation', 'Family']","['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America']
The Jungle Book,en,94.199316,['English'],"['Family', 'Adventure', 'Drama', 'Fantasy']","['Walt Disney Pictures', 'Walt Disney Studios Motion Pictures', 'Fairview Entertainment', 'Moving Picture Company (MPC)']","['United Kingdom', 'United States of America']"
Iron Man 2,en,77.300194,"['English', 'Pусский', 'Français']","['Adventure', 'Action', 'Science Fiction']",['Marvel Studios'],['United States of America']
Snow White and the Huntsman,en,77.178973,['English'],"['Adventure', 'Fantasy', 'Drama']","['Universal Pictures', 'Roth Films']",['United States of America']
Maleficent,en,110.620647,['English'],"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']","['Walt Disney Pictures', 'Walt Disney Studios Motion Pictures', 'Roth Films']",['United States of America']
Dawn of the Planet of the Apes,en,243.791743,['English'],"['Science Fiction', 'Action', 'Drama', 'Thriller']","['Ingenious Media', 'Chernin Entertainment', 'TSG Entertainment']",['United States of America']
The Lovers,en,2.418535,['English'],"['Action', 'Adventure', 'Science Fiction', 'Romance']","['Corsan', 'Bliss Media', 'Limelight International Media Entertainment', 'Neelmudra Entertainment', 'Aristos Films', 'Singularity Productions', 'Wildkite']","['Australia', 'Belgium', 'India']"
47 Ronin,en,41.796339,"['English', '日本語']","['Drama', 'Action', 'Adventure', 'Fantasy']","['Mid Atlantic Films', 'Stuber Productions', 'Universal', 'Moving Picture Company (MPC)', 'H2F Entertainment']",['United States of America']
Captain America: The Winter Soldier,en,72.225265,['English'],"['Action', 'Adventure', 'Science Fiction']",['Marvel Studios'],['United States of America']
Shrek Forever After,en,44.041186,['English'],"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",['DreamWorks Animation'],['United States of America']
Tomorrowland,en,130.311355,['English'],"['Adventure', 'Family', 'Mystery', 'Science Fiction']","['Walt Disney Pictures', 'Babieka', 'A113']",['United States of America']
Big Hero 6,en,203.73459,['English'],"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']","['Walt Disney Pictures', 'Walt Disney Animation Studios']",['United States of America']
Wreck-It Ralph,en,62.341073,['English'],"['Family', 'Animation', 'Comedy', 'Adventure']",['Walt Disney Animation Studios'],['United States of America']
The Polar Express,en,47.323228,['English'],"['Adventure', 'Animation', 'Family', 'Fantasy']","['Golden Mean', 'Playtone', 'ImageMovers']",['United States of America']
Independence Day: Resurgence,en,48.775723,['English'],"['Action', 'Adventure', 'Science Fiction']","['Twentieth Century Fox Film Corporation', 'Centropolis Entertainment', 'TSG Entertainment', 'Stereo D']",['United States of America']
How to Train Your Dragon,en,67.263269,['English'],"['Fantasy', 'Adventure', 'Animation', 'Family']","['DreamWorks Animation', 'Vertigo Entertainment', 'Mad Hatter Entertainment']",['United States of America']
Terminator 3: Rise of the Machines,en,69.405188,['English'],"['Action', 'Thriller', 'Science Fiction']","['Columbia Pictures', 'Intermedia Films', 'Warner Bros.', 'C-2 Pictures', 'IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG', 'Mostow/Lieberman Productions']","['Germany', 'United Kingdom', 'United States of America']"
Guardians of the Galaxy,en,481.098624,['English'],"['Action', 'Science Fiction', 'Adventure']","['Marvel Studios', 'Moving Picture Company (MPC)', 'Bulletproof Cupid', 'Revolution Sun Studios']","['United Kingdom', 'United States of America']"
Interstellar,en,724.247784,['English'],"['Adventure', 'Drama', 'Science Fiction']","['Paramount Pictures', 'Legendary Pictures', 'Warner Bros.', 'Syncopy', 'Lynda Obst Productions']","['Canada', 'United States of America', 'United Kingdom']"
Inception,en,167.58371,"['English', '日本語', 'Français']","['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']","['Legendary Pictures', 'Warner Bros.', 'Syncopy']","['United Kingdom', 'United States of America']"
シン・ゴジラ,ja,9.476999,"['Italiano', 'Deutsch', 'English', '日本語']","['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction']","['Cine Bazar', 'Toho Pictures']",['Japan']
The Hobbit: An Unexpected Journey,en,108.849621,['English'],"['Adventure', 'Fantasy', 'Action']","['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']","['New Zealand', 'United States of America']"
The Fast and the Furious,en,6.909942,['English'],"['Action', 'Crime', 'Thriller']","['Universal Pictures', 'Original Film', 'Ardustry Entertainment', 'Mediastream Film GmbH & Co. Productions KG']","['Germany', 'United States of America']"
The Curious Case of Benjamin Button,en,60.269279,['English'],"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']","['Paramount Pictures', 'Warner Bros.', 'Kennedy/Marshall Company, The']",['United States of America']
X-Men: First Class,en,3.195174,"['Deutsch', 'English', 'Español', 'Français', 'Pусский']","['Action', 'Science Fiction', 'Adventure']","['Ingenious Film Partners', 'Ingenious Media', 'Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Dune Entertainment', 'Dune Entertainment III', 'Marvel Entertainment', 'Bad Hat Harry Productions', 'Big Screen Productions']",['United States of America']
The Hunger Games: Mockingjay - Part 2,en,127.284427,['English'],"['Action', 'Adventure', 'Science Fiction']","['Studio Babelsberg', 'Lionsgate', 'Color Force']","['Germany', 'United States of America']"
The Sorcerer's Apprentice,en,35.580815,['English'],"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Saturn Films', 'Broken Road Productions', 'Junction Entertainment']",['United States of America']
Poseidon,en,21.133748,"['English', 'Español']","['Adventure', 'Action', 'Drama', 'Thriller']","['Virtual Studios', 'Next Entertainment', 'Warner Bros.', 'Irwin Allen Productions', 'Radiant Productions', 'Synthesis Entertainment']",['United States of America']
Alice Through the Looking Glass,en,56.268916,['English'],['Fantasy'],"['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions', 'Roth Films', 'Legend3D']","['United Kingdom', 'United States of America']"
Shrek the Third,en,42.986467,['Français'],"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']","['DreamWorks SKG', 'DreamWorks Animation']",['United States of America']
Warcraft,en,63.148529,['English'],"['Action', 'Adventure', 'Fantasy']","['Universal Pictures', 'Atlas Entertainment', 'Legendary Pictures', 'Blizzard Entertainment']","['Canada', 'China', 'Japan', 'United States of America']"
Terminator Genisys,en,202.042635,['English'],"['Science Fiction', 'Action', 'Thriller', 'Adventure']","['Paramount Pictures', 'Annapurna Pictures', 'Skydance Media']",['United States of America']
The Chronicles of Narnia: The Voyage of the Dawn Treader,en,49.661984,['English'],"['Adventure', 'Family', 'Fantasy']","['Dune Entertainment', 'Fox 2000 Pictures', 'Walden Media']",['United States of America']
Pearl Harbor,en,34.20669,"['Français', 'English', '日本語']","['History', 'Romance', 'War']","['Jerry Bruckheimer Films', 'Touchstone Pictures']",['United States of America']
Transformers,en,25.468493,"['Español', 'English']","['Adventure', 'Science Fiction', 'Action']","['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'thinkfilm', 'SprocketHeads', 'Hasbro Studios', 'Revolution Sun Studios']",['United States of America']
Alexander,en,39.019229,['English'],"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']","['France 3 Cinéma', 'Intermedia Films', 'Pathé Renn Productions', 'Egmond Film & Television', 'Warner Bros.', 'Pacifica Film', 'IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG', 'WR Universal Group']","['France', 'Germany', 'Italy', 'Netherlands', 'United Kingdom', 'United States of America']"
Harry Potter and the Order of the Phoenix,en,78.144395,['English'],"['Adventure', 'Fantasy', 'Family', 'Mystery']","['Warner Bros.', 'Heyday Films']","['United Kingdom', 'United States of America']"
Harry Potter and the Goblet of Fire,en,101.250416,"['English', 'Français']","['Adventure', 'Fantasy', 'Family']","['Patalex IV Productions Limited', 'Warner Bros.', 'Heyday Films']","['United Kingdom', 'United States of America']"
Hancock,en,56.758411,"['English', '日本語']","['Fantasy', 'Action']","['Columbia Pictures', 'Weed Road Pictures', 'Forward Pass', 'Relativity Media', 'Overbrook Entertainment', 'Blue Light', 'GH Three']",['United States of America']
I Am Legend,en,70.867401,['English'],"['Drama', 'Horror', 'Action', 'Thriller', 'Science Fiction']","['Village Roadshow Pictures', 'Original Film', 'Weed Road Pictures', 'Warner Bros.', 'Heyday Films', 'Overbrook Entertainment']",['United States of America']
Charlie and the Chocolate Factory,en,53.905592,['English'],"['Adventure', 'Comedy', 'Family', 'Fantasy']","['Village Roadshow Pictures', 'The Zanuck Company', 'Warner Bros.', 'Tim Burton Productions', 'Plan B Entertainment', 'Theobald Film Productions']","['Australia', 'United Kingdom', 'United States of America']"
Ratatouille,en,65.677399,['English'],"['Animation', 'Comedy', 'Family', 'Fantasy']","['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America']
Batman Begins,en,115.040024,"['English', 'اردو', '普通话']","['Action', 'Crime', 'Drama']","['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Patalex III Productions Limited']","['United Kingdom', 'United States of America']"
Madagascar: Escape 2 Africa,en,44.141021,"['English', 'Italiano', 'ภาษาไทย']","['Family', 'Animation']",['DreamWorks Animation'],['United States of America']
Night at the Museum: Battle of the Smithsonian,en,81.781591,['English'],"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']","['Twentieth Century Fox Film Corporation', '1492 Pictures', 'Dune Entertainment', '21 Laps Entertainment', 'Museum Canada Productions', 'Moving Picture Company (MPC)']","['United States of America', 'Canada']"
X-Men Origins: Wolverine,en,5.954334,['English'],"['Adventure', 'Action', 'Thriller', 'Science Fiction']","['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Dune Entertainment', 'Seed Productions', 'Bad Hat Harry Productions', 'Big Screen Productions', 'Marvel Enterprises']",['United States of America']
The Matrix Revolutions,en,73.313918,"['English', 'Français']","['Adventure', 'Action', 'Thriller', 'Science Fiction']","['Village Roadshow Pictures', 'NPV Entertainment', 'Silver Pictures', 'Warner Bros.']","['United States of America', 'Australia']"
Frozen,en,165.125366,['English'],"['Animation', 'Adventure', 'Family']","['Walt Disney Pictures', 'Walt Disney Animation Studios']",['United States of America']
The Matrix Reloaded,en,70.78591,['English'],"['Adventure', 'Action', 'Thriller', 'Science Fiction']","['Village Roadshow Pictures', 'NPV Entertainment', 'Heineken Branded Entertainment', 'Silver Pictures', 'Warner Bros.']","['Australia', 'United States of America']"
Thor: The Dark World,en,99.499595,['English'],"['Action', 'Adventure', 'Fantasy']",['Marvel Studios'],['United States of America']
Mad Max: Fury Road,en,434.278564,['English'],"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Village Roadshow Pictures', 'Kennedy Miller Productions', 'Warner Bros.']","['Australia', 'United States of America']"
Angels & Demons,en,67.447636,"['English', 'Italiano', 'Latin', 'Français', 'Deutsch', '普通话']","['Thriller', 'Mystery']","['Columbia Pictures', 'Imagine Entertainment', 'Panorama Films', 'Skylark Productions']","['Italy', 'United States of America']"
Thor,en,86.493424,['English'],"['Adventure', 'Fantasy', 'Action']",['Marvel Studios'],['United States of America']
Bolt,en,41.845878,['English'],"['Animation', 'Family', 'Adventure', 'Comedy']",['Walt Disney Animation Studios'],['United States of America']
